current_year,Year,Selling_Price,Present_Price,Kms_Driven
6,2016,7.4,8.5,15059
6,2016,5.65,7.9,28569
7,2015,5.75,7.5,44000
7,2015,8.4,13.6,34000
6,2016,10.11,13.6,10980
8,2014,4.5,6.4,19000
7,2015,5.4,6.1,31427
6,2016,6.4,8.4,12000
12,2010,3.25,9.9,38000
8,2014,3.75,6.8,33019
7,2015,8.55,13.09,60076
6,2016,9.5,11.6,33988
7,2015,4,5.9,60000
13,2009,3.35,11,87934
5,2017,11.5,12.5,9000
6,2016,5.3,5.9,5464
